gene_symbol,chembl_target_id,max_phase
TOP1,CHEMBL1781,3.0
CDK7,CHEMBL3055,3.0
NQO1,CHEMBL3623,3.0
CA9,CHEMBL3594,3.0
MAP2K1,CHEMBL3587,3.0
PTGER3,CHEMBL3710,3.0
FGFR1,CHEMBL3650,3.0
IL13,CHEMBL3580486,3.0
MUC16,CHEMBL3580482,3.0
MSTN,CHEMBL3407325,3.0
IL17A,CHEMBL3390822,3.0
CD19,CHEMBL3390821,3.0
CYP17A1,CHEMBL3522,3.0
TYK2,CHEMBL3553,3.0
ENPEP,CHEMBL3439,3.0
AVPR2,CHEMBL1790,3.0
FDFT1,CHEMBL3338,3.0
HTR6,CHEMBL3371,3.0
PLA2G2A,CHEMBL3474,3.0
CETP,CHEMBL3572,3.0
PLA2G7,CHEMBL3514,3.0
PDCD1,CHEMBL3307223,3.0
ANGPT1,CHEMBL3217395,3.0
TGFB2,CHEMBL3217393,3.0
PDGFB,CHEMBL3108633,3.0
MMP2,CHEMBL333,3.0
MMP1,CHEMBL332,3.0
ENPP2,CHEMBL3691,3.0
SOST,CHEMBL3580487,3.0
VEGFB,CHEMBL3580488,3.0
TNFSF4,CHEMBL3712900,3.0
CD47,CHEMBL3714583,3.0
VEGFC,CHEMBL3714157,3.0
IL13RA2,CHEMBL3713941,3.0
ELN,CHEMBL3713712,3.0
BMP10,CHEMBL3713453,3.0
TNFSF13,CHEMBL3713436,3.0
MUC5AC,CHEMBL3713020,3.0
IFNA2,CHEMBL3713000,3.0
CSF2,CHEMBL3712955,3.0
ICOS,CHEMBL3712953,3.0
CCN2,CHEMBL3712901,3.0
MET,CHEMBL3717,3.0
ANGPT2,CHEMBL3580489,3.0
ENG,CHEMBL3712885,3.0
CEACAM5,CHEMBL3712881,3.0
TNFRSF9,CHEMBL3712857,3.0
CD6,CHEMBL3712853,3.0
INHBA,CHEMBL3588735,3.0
CD274,CHEMBL3580522,3.0
IL1A,CHEMBL3580496,3.0
MUC1,CHEMBL3580494,3.0
EPCAM,CHEMBL3580493,3.0
BSG,CHEMBL3580492,3.0
CD40LG,CHEMBL3580491,3.0
CDK4,CHEMBL331,3.0
SELL,CHEMBL3161,3.0
FN1,CHEMBL3810,3.0
MMP9,CHEMBL321,3.0
DPP4,CHEMBL284,3.0
MMP3,CHEMBL283,3.0
MAP2K2,CHEMBL2964,3.0
KDR,CHEMBL279,3.0
JAK2,CHEMBL2971,3.0
JAK1,CHEMBL2835,3.0
ITGB7,CHEMBL2979,3.0
PLK1,CHEMBL3024,3.0
ACP3,CHEMBL2633,3.0
CCR5,CHEMBL274,3.0
CTSK,CHEMBL268,3.0
CD4,CHEMBL2754,3.0
SRC,CHEMBL267,3.0
GRM3,CHEMBL2888,3.0
SYK,CHEMBL2599,3.0
CXCR2,CHEMBL2434,3.0
APP,CHEMBL2487,3.0
CHRNA7,CHEMBL2492,3.0
MPO,CHEMBL2439,3.0
CDK6,CHEMBL2508,3.0
KCNQ2,CHEMBL2476,3.0
CA1,CHEMBL261,3.0
MAPK14,CHEMBL260,3.0
ADORA3,CHEMBL256,3.0
ADORA2A,CHEMBL251,3.0
REN,CHEMBL286,3.0
PTK2,CHEMBL2695,3.0
F11,CHEMBL2820,3.0
ERBB4,CHEMBL3009,3.0
SLC9A3,CHEMBL3273,3.0
CDK1,CHEMBL308,3.0
FGF2,CHEMBL3107,3.0
CD22,CHEMBL3218,3.0
PARP1,CHEMBL3105,3.0
PRKCB,CHEMBL3045,3.0
CDK9,CHEMBL3116,3.0
PIK3CD,CHEMBL3130,3.0
DPYD,CHEMBL3172,3.0
F8,CHEMBL3143,3.0
SLC10A2,CHEMBL2778,3.0
TERT,CHEMBL2916,3.0
PDE4D,CHEMBL288,3.0
PCSK9,CHEMBL2929,3.0
MAP3K9,CHEMBL2872,3.0
KCNQ5,CHEMBL2925,3.0
FGFR3,CHEMBL2742,3.0
P2RX3,CHEMBL2998,3.0
NTRK1,CHEMBL2815,3.0
MAP3K10,CHEMBL2873,3.0
MAP3K11,CHEMBL2708,3.0
CDK2,CHEMBL301,3.0
MAPK10,CHEMBL2637,3.0
MTOR,CHEMBL2842,3.0
MC1R,CHEMBL3795,3.0
CALCRL,CHEMBL3798,3.0
EDNRA,CHEMBL252,3.0
