Gene_Symbol	idgTDL_old	idgTDL_new	druggability_tier	cancer_druggability	ab_bucket_num	ab_bucket_name	sm_bucket_num	sm_bucket_name	protac_bucket_num	protac_bucket_name	task_pharos_tclin_vs_others	task_pharos_tclin_tchem_vs_others	task_triage_tier1_vs_others	task_triage_tier12_vs_others	task_cancer_druggability	task_ab_bucket1_vs_others	task_ab_bucket123_vs_others	task_sm_bucket1_vs_others	task_sm_bucket123_vs_others	task_protac_bucket1234_vs_others	task_cancer_type_specific_target_prioritization	task_pan_cancer_target_prioritization	task_T1_targets_only	task_T1_T2_targets	task_T1_T2_T3_targets
A1BG	Tbio	TBIO	Tier 3B	0	5.0	5_GO CC high conf		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1CF	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	Tbio	TBIO	Tier 3B	0	4.0	4_UniProt loc high conf	1.0	1_Approved Drug	7.0	7_Half-life Data	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
A2ML1	Tbio	TBIO	Tier 3A	0	4.0	4_UniProt loc high conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GNT	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	Tbio	TCHEM	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned	7.0	7_Half-life Data	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	Tdark	TDARK	Tier 3B	0	6.0	6_UniProt loc med conf		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	Tchem	TCHEM	Tier 2	0	9.0	9_Human Protein Atlas loc	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
AAGAB	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAK1	Tchem	TCHEM	Tier 1	0	5.0	5_GO CC high conf	4.0	4_Structure with Ligand	4.0	4_Literature	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0
AAMDC	Tdark	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAMP	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AANAT	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARD	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	Tbio	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARSD1	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	Tdark	TBIO	-1	0		Not_Assigned		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDHPPT	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASS	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	Tbio	TBIO	-1	0		Not_Assigned	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK	Tbio	TBIO	Tier 3A	0	7.0	7_UniProt SigP or TMHMM	8.0	8_Druggable Family		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	Tclin	TCLIN	Tier 1	0		Not_Assigned	1.0	1_Approved Drug	7.0	7_Half-life Data	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1
ABCA1	Tclin	TCLIN	Tier 1	0	4.0	4_UniProt loc high conf	1.0	1_Approved Drug	7.0	7_Half-life Data	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1
ABCA10	Tdark	TDARK	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA12	Tbio	TBIO	Tier 3B	0	5.0	5_GO CC high conf	8.0	8_Druggable Family		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	Tbio	TBIO	Tier 3B	0	5.0	5_GO CC high conf	8.0	8_Druggable Family		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	Tbio	TBIO	Tier 3A	0	4.0	4_UniProt loc high conf	8.0	8_Druggable Family	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA3	Tbio	TBIO	Tier 3B	0	5.0	5_GO CC high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	Tbio	TBIO	Tier 1	0	7.0	7_UniProt SigP or TMHMM	4.0	4_Structure with Ligand		Not_Assigned	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCA5	Tbio	TBIO	-1	0	6.0	6_UniProt loc med conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6	Tbio	TBIO	-1	0	5.0	5_GO CC high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	Tbio	TBIO	Tier 2	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCA8	Tbio	TBIO	-1	0	4.0	4_UniProt loc high conf		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	Tdark	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	Tchem	TCHEM	Tier 1	0	4.0	4_UniProt loc high conf	2.0	2_Advanced Clinical	6.0	6_Database Ubiquitination	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1
ABCB10	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	Tchem	TCHEM	Tier 1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	5.0	5_UniProt Ubiquitination	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCB4	Tbio	TBIO	Tier 1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCB5	Tbio	TBIO	Tier 1	0	4.0	4_UniProt loc high conf	8.0	8_Druggable Family	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCB6	Tbio	TBIO	Tier 1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCB7	Tbio	TBIO	Tier 1	0	7.0	7_UniProt SigP or TMHMM	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCB8	Tbio	TBIO	Tier 1	0	7.0	7_UniProt SigP or TMHMM	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCB9	Tbio	TBIO	-1	0	7.0	7_UniProt SigP or TMHMM		Not_Assigned	6.0	6_Database Ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	Tchem	TCHEM	Tier 1	0	4.0	4_UniProt loc high conf	2.0	2_Advanced Clinical	6.0	6_Database Ubiquitination	0	1	1	1	0	0	0	0	1	0	0	0	0	1	1
ABCC10	Tbio	TBIO	Tier 1	0	4.0	4_UniProt loc high conf	8.0	8_Druggable Family	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCC11	Tbio	TBIO	Tier 1	0	4.0	4_UniProt loc high conf	8.0	8_Druggable Family		Not_Assigned	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCC12	Tbio	TBIO	Tier 1	0	7.0	7_UniProt SigP or TMHMM	8.0	8_Druggable Family	6.0	6_Database Ubiquitination	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ABCC13	Tdark	TDARK	-1	0		Not_Assigned		Not_Assigned		Not_Assigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	Tchem	TCHEM	Tier 1	0	4.0	4_UniProt loc high conf	4.0	4_Structure with Ligand	6.0	6_Database Ubiquitination	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1
