Gene_Symbol,disease_association,essential_gene,loss_of_function_tolerance,loss_of_function_constraint,observed_expected_lof_ratio,rvis_score,gwas_associations,protein_protein_interactions,chemical_gene_interactions,drug_interaction_types,known_antibodies,antibody,antibody_availability,small_molecule,tractable_modalities,overall_therapeutic_potential,functional_characterization,protein_domains,protein_length,expression_tissue_specificity,expression_specificity,expression_broadly_expressed,alternative_splicing
A1BG,,,0.0,,0.74,,,0.7,0.85,,0.9,,,,,0.7,,,0.5,1.0,,,
A1CF,,1.0,0.0,,,,0.75,0.5,0.8,,,,0.9,,0.7,0.75,,,,,1.0,,
A2M,0.7,,0.0,,0.4,,,0.7,0.8,,,,0.9,,0.8,,,,0.8,,,,
A2ML1,,,0.0,,,,0.5,,0.6,,0.8,,,,0.8,,,,,,0.99,,0.6
A3GALT2,,,0.0,,0.95,,,,0.5,,,,0.6,,0.7,,,,0.5,,,,
A4GALT,,,0.0,,0.96,,0.6,0.5,0.7,,0.8,,,,0.9,0.7,0.85,,0.5,0.76,,,
A4GNT,,,0.17,,0.29,,,0.5,0.7,,0.94,,,,,0.75,,,0.68,,,,
AAAS,0.9,,0.0,,0.72,,,0.5,0.6,,0.7,,,,0.7,,,,0.5,,,,
AACS,,,0.0,,0.8,,,,0.8,,0.9,,,,0.6,0.7,,,0.5,0.8,,,
AADAC,,,0.0,,,,0.5,,0.8,,,,0.9,,,,,,,,,,
AADACL2,,,0.0,,0.5,,,,,,,,0.9,,0.8,,,,0.6,,,,
AADACL3,,,0.01,,0.72,,,,0.6,,0.82,,,,,,,,0.7,,,,
AADACL4,,,0.0,,0.88,,,,0.7,,0.9,,,,0.6,,,,0.75,,,,
AADAT,,,,,,,,,,,,0.9,,0.7,,,,,,,,,
AAGAB,0.8,,0.0,,0.66,,,0.7,0.8,,,,0.9,,,0.65,,,0.75,,,0.6,
AAK1,,,,1.0,0.04,,,,0.6,,0.7,,,,,,,0.9,0.8,,,,
AAMDC,,,0.0,,0.5,,,,0.7,,0.8,,,,0.8,,,,0.5,0.7,,,
AAMP,,,,0.75,0.18,,,0.5,0.7,,0.92,,,,0.8,,,,0.87,,,,
AANAT,0.8,,0.0,,0.6,,0.8,,0.7,,0.9,,,,,,,,0.5,1.0,,,0.6
AAR2,,,0.0,,0.77,,,0.6,0.5,,0.8,,,,0.7,,,,0.5,,,0.6,
AARD,,,0.33,,0.24,0.0,,,0.8,,,,,,,0.6,,,0.5,,,,
AARS2,0.7,,0.0,,0.65,,,,0.8,,,,0.9,,0.75,0.7,0.85,,0.8,,,,
AARSD1,,,0.0,,0.74,,,0.75,0.7,,0.8,,,,,,,,0.6,,,0.55,
AASDH,,,0.0,,0.61,,,,0.7,,0.9,,,,0.5,0.65,,,0.8,0.64,,,
AASDHPPT,0.5,,0.04,,0.34,,,0.4,0.67,,0.71,,,,0.5,,,,0.62,,,0.6,
AASS,0.9,,0.0,,0.58,,,,0.8,,,,0.9,,0.7,,,,0.7,,0.8,,
AATF,,1.0,0.0,,,,,,0.4,,,,0.9,,,,,,,,,1.0,
AATK,,,,0.56,0.22,,0.4,,0.5,,0.7,,,,0.85,,,0.9,0.8,0.97,,,
ABAT,0.5,,0.01,,0.33,,,,0.85,0.9,0.85,,,,0.7,,0.8,,0.5,0.85,,,
ABCA1,,1.0,0.0,,0.36,,0.9,,0.7,0.6,0.8,,,,,,,0.8,,,,,
ABCA10,,,0.0,,0.78,,,,0.5,,0.6,,,,0.5,0.55,,,0.8,,,,
ABCA11P,,,0.0,,0.0,,,,0.7,,,,,,,0.2,,,0.5,,,0.2,
ABCA12,,1.0,0.0,,0.37,,,,0.7,,,,,,0.8,,,,0.5,,1.0,,
ABCA13,,,0.0,,,,0.1,,0.8,,,,,,0.6,,,,0.7,0.95,,,0.4
ABCA2,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ABCA3,0.5,1.0,0.0,,,,,,,,,,0.8,,0.75,,,,,,0.7,,
ABCA4,0.9,,0.1,,,,,,,,,,0.9,,,,,,,,,,
ABCA5,,,0.0,,0.64,0.86,0.6,,0.75,,0.9,,,,0.8,0.65,,,0.8,0.71,,,
ABCA6,,,0.0,,0.67,,0.9,,0.75,,0.85,,,,0.7,,,,0.8,,,,
ABCA7,,,0.0,,0.89,,0.9,0.5,0.75,,0.85,,,,,0.75,,,0.8,,,,
ABCA8,,,0.0,,,,0.8,,,,,,0.9,,0.7,,,,,,,,0.6
ABCA9,,,0.0,,0.86,,,0.6,0.7,,0.9,,,,0.9,,,0.75,0.8,0.87,,,
ABCB1,,,0.0,,,,0.5,,0.6,0.7,0.9,,,,,0.75,,,,,,,
ABCB10,,,0.0,,,,,,,,,,0.9,,,,,,,0.6,,,
ABCB11,,,0.0,,0.47,,0.9,,0.75,0.6,0.7,,,,0.8,,,0.85,0.7,1.0,,,
ABCB4,,,0.0,,0.35,0.8,0.6,,0.7,0.9,0.8,,,,,0.7,0.6,,0.7,1.0,,,
ABCB5,,,0.0,,0.89,,,0.2,0.7,,0.9,,,,0.75,,,,0.8,,,,
ABCB6,0.9,,,,,,,,,,,,,,,,,,,,,,
ABCB7,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ABCB8,,,0.0,,0.8,,,,0.7,,0.96,,,,,,,,0.5,,,,0.6
ABCB9,,,0.0,,,,0.8,0.5,0.7,,,,0.9,,0.8,,0.9,,,,0.7,,
ABCC1,,,0.01,,0.26,0.11,0.6,,0.8,0.8,0.9,,,,,,,,0.76,0.71,,,
ABCC10,,,0.0,,,,0.5,,0.8,,,,0.9,,,0.7,,,,,0.65,,
ABCC11,,,0.0,,1.0,,0.5,,0.8,,0.9,,,,,,,0.7,0.8,,,,
ABCC12,,,0.0,,0.5,,,,0.6,,0.9,,,,0.7,,,0.8,0.7,,,,
ABCC13,,,1.0,,1.0,,,,0.8,,,,,,,,,,0.5,,,0.6,
ABCC2,0.8,,0.0,,,,,,,,,,0.7,,,,,,,,1.0,,
ABCC3,,,0.0,,,,,,,,,,,,,0.65,,,,,0.96,,0.5
ABCC4,,,0.0,,,,0.8,,0.85,,,,0.9,,,,,,,,0.88,,
ABCC5,,,0.02,,0.26,,0.5,,0.85,0.8,0.9,,,,,,,,0.9,,,,
ABCC6,0.8,,0.0,,,,,,,,,,,,,,,,,,0.99,,
ABCC8,0.8,,0.0,,,,,,,,,,0.9,,,,,,,,0.97,,
ABCC9,,,0.0,,0.35,,0.5,,0.6,0.4,0.9,,,,0.6,,,,0.7,,,,
ABCD1,1.0,,,1.0,0.0,,,0.5,0.7,,0.9,,,,,,,,0.6,,,,
ABCD2,,,0.0,,0.55,,,0.4,0.67,,0.85,,,,,,,,0.74,0.85,,,
ABCD3,,,,,,,,,,,,0.7,,0.5,,,,,,,,,
ABCD4,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ABCE1,,1.0,,0.98,0.16,,,,0.73,,0.85,,,,,0.78,,,0.75,,,,
ABCF1,,,0.0,,0.4,,0.9,,0.7,,0.85,,,,0.8,,,0.6,0.8,,,0.7,
ABCF2,,,0.03,,0.28,,0.75,0.6,0.7,,0.9,,,,0.9,,,0.8,0.85,,,0.65,
ABCF3,,,0.0,,0.36,,,,0.6,,0.9,,,,0.7,,,0.8,0.8,,,0.5,
ABCG1,,,0.3,,,,0.5,,,,,,0.9,,,0.7,,,,,,,0.6
ABCG2,,,0.0,,0.6,,0.8,0.6,0.7,0.4,0.9,,,,,,,,0.5,0.7,,,
ABCG4,0.75,,0.0,,,,0.8,,0.7,,,,0.9,,0.8,,,,,,0.95,,
ABCG5,0.8,,0.1,,,,,,,,,,0.9,,,,,,,,,,
ABCG8,,,0.0,,,,0.9,0.5,0.6,,0.7,,,,,,,,,1.0,,,
ABHD1,,,0.0,,0.6,0.8,,,0.7,,0.9,,,,0.6,0.7,,,0.5,1.0,,,
ABHD10,,,0.0,,0.69,0.82,,,0.8,,0.9,,,,0.7,,0.8,,0.5,,,0.6,0.7
ABHD11,,,0.0,,0.5,,,,0.7,,0.9,,,,0.8,,,,0.5,,,,
ABHD12,,,0.0,,,,0.7,0.6,0.85,,,,0.9,,0.8,,,,,,,0.75,
ABHD12B,,,0.0,,0.5,0.9,,0.3,0.6,,0.8,,,,,,,0.7,0.7,0.95,,,
ABHD13,,,,0.91,0.08,,,,0.7,,0.81,,,,0.8,,,,0.67,,,0.54,
ABHD14A,,,0.0,,0.81,,,,0.7,,0.9,,,,0.85,,,,0.6,0.73,,,
ABHD14B,,,0.0,,0.93,,,,0.9,,0.8,,,,0.9,,,0.7,0.5,0.64,,,
ABHD15,,,0.0,,0.92,,,0.5,0.67,,0.78,,,,0.6,,,,0.5,,,,
ABHD16A,,,0.4,,,,0.8,,0.7,,,,0.9,,0.8,0.7,,,,,,,
ABHD16B,,,0.0,,0.65,,,,0.5,,0.6,,,,,0.65,,,0.5,0.8,,,
